street	city	price	sqms	sqmp	rooms	dos	qos	yoc	lon	lat
Carl Plougs Vej 16	3460 Birkerød	42e5	144	29167	5	2015-09-10	2015.3	1961-01-01	12.454229	55.86317
Bakkevænget 7	3460 Birkerød	4475e3	164	27287	5	2015-09-08	2015.3	1970-01-01	12.4324214	55.8518592
Hestkøbvej 4	3460 Birkerød	585e4	158	37025	7	2015-09-04	2015.3	1886-01-01	12.422052	55.837627
Stenløkken 84	3460 Birkerød	1625e3	181	8978	5	2015-09-04	2015.3	1973-01-01	12.4243542	55.858881
Præstevangen 10	3460 Birkerød	3395e3	118	28771	4	2015-09-03	2015.3	1952-01-01	12.433304	55.835857
Birkerød Kongevej 97	3460 Birkerød	2665e3	94	28351	4	2015-08-31	2015.3	1951-01-01	12.4312969	55.8455058
Rønnebakken 8	3460 Birkerød	385e4	128	30078	5	2015-08-28	2015.3	1955-01-01	12.437448	55.826516
Vasevej 74	3460 Birkerød	25e5	150	16667	5	2015-08-27	2015.3	1945-01-01	12.4332589	55.8276878
Solbjærget 44	3460 Birkerød	34e5	93	36559	4	2015-08-26	2015.3	1952-01-01	12.429583299999999	55.8566669
Gyvelbakken 33	3460 Birkerød	475e4	156	30449	5	2015-08-20	2015.3	1962-01-01	12.432982	55.824775
Munkerisparken 38	3460 Birkerød	47e5	151	31126	4	2015-08-16	2015.3	1974-01-01	12.423905	55.83326899999999
Furesøparkalle 23	3460 Birkerød	52e5	172	30233	6	2015-08-13	2015.3	1970-01-01	12.4361372	55.822833
Ravnsnæsvej 36A	3460 Birkerød	165e4	141	11702	7	2015-08-13	2015.3	1918-01-01	12.440234	55.847568
Carinaparken 6	3460 Birkerød	47e5	157	29936	6	2015-08-12	2015.3	1965-01-01	12.415491	55.846621
Lyngholmen 15	3460 Birkerød	4e6	161	24845	6	2015-08-10	2015.3	1956-01-01	12.416903	55.837222
Langkærgårdsvej 38	3460 Birkerød	3695e3	129	28643	4	2015-08-02	2015.3	1961-01-01	12.431282	55.823074
Ravnsnæsvej 14	3460 Birkerød	5e6	168	29762	6	2015-07-31	2015.3	1903-01-01	12.439495	55.843731
Abildgårdsparken 30	3460 Birkerød	42e5	199	21106	6	2015-07-31	2015.3	1967-01-01	12.423123	55.82564
Tornevænget 14	3460 Birkerød	431e4	158	27278	5	2015-07-30	2015.3	1970-01-01	12.413998	55.844352
Munkerisparken 44	3460 Birkerød	43e5	153	28105	4	2015-07-29	2015.3	1973-01-01	12.422621	55.833745
Birkehavevej 18	3460 Birkerød	38e5	95	4e4	6	2015-07-29	2015.3	1736-01-01	12.461711	55.853285
Hestkøb Vænge 3	3460 Birkerød	4445e3	168	26458	6	2015-07-29	2015.3	1978-01-01	12.4130974	55.8344463
Stenhøjgårdsvej 17	3460 Birkerød	5175e3	175	29571	4	2015-07-29	2015.3	1957-01-01	12.4185633	55.854402
Pilegårdsparken 21	3460 Birkerød	29e5	154	18831	4	2015-07-26	2015.3	1967-01-01	12.4085366	55.842301
Stenløkken 71	3460 Birkerød	49e5	169	28994	6	2015-07-24	2015.3	1984-01-01	12.4199342	55.8588095
Odinsvej 8	3460 Birkerød	282e4	98	28776	4	2015-07-21	2015.3	1918-01-01	12.4325902	55.84655189999999
Mosevangen 1C	3460 Birkerød	3875e3	129	30039	4	2015-07-20	2015.3	1984-01-01	12.4197037	55.83941050000001
Rolighedsvej 36	3460 Birkerød	43e5	148	29054	6	2015-07-19	2015.3	1957-01-01	12.427668	55.845338
Bregnebakken 2	3460 Birkerød	3995e3	114	35044	4	2015-07-17	2015.3	1998-01-01	12.431831	55.82332
Søvej 18	3460 Birkerød	4e6	215	18605	7	2015-07-14	2015.3	2017-01-01	12.4300429	55.83709899999999
Grøndalsvænge 1	3460 Birkerød	257e4	164	15671	4	2015-07-09	2015.3	2016-01-01	12.4279082	55.85951410000001
